RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
736190|67946|77618|||0|0|1066|1066|0|0|0|0|0|0|||||
715678|98664|85160|||0|0|0|1724|0|0|0|0|0|0|||||
723452|1894853|2989971|441924|213440|104923|104923|2833076|2711677|0|0|170292|161038|17801|8374|||||
709155|588778|627827|||0|0|0|0|0|0|0|0|0|0|||||
710090|34969|45544|||0|0|0|0|0|0|0|0|0|0|||||
721742|187606|245391|0||600736|663330|44328|43721|0|0|0||0||||||
723324|800548|875239|634622|468794|12170092|14269646|7743604|7560789|0|0||47000|0|0|||||
732585|140209|112428|||||||0|0|||||||||
719537|245796|258469|||0|0|0|0|0|0|0|0|0|0|||||
714410|258203|171524|||0|0|8453|9653|0|0|0|0|0|0|||||
713884|1896|19896|||0|0|0|0|0|0|0|0|0|0|||||
724685|41338|37423|||0|0|0|0|0|0|0|0|0|0|||||
714635|12154|13907|||0|0|0|0|0|0|0|0|0|0|||||
720110|92591|107020|||0|0|4924|4568|0|0|84|186|0|0|||||
717687|78208|90997|||0|0|3569|3569|0|0|0|0|0|0|||||
715033|80195|90413|||0|0|5043|5043|0|0|0|0|0|0|||||
723141|45654|32310|||0|0|223000|223000|0|0|0|0|0|0|||||
730435|66180|27079|||50394|64|117000|117000|0|0|0|0|0|0|||||
719335|196198|210015|||0|0|0|0|0|0|0|0|0|0|||||
714906|6913|12832|||0|0|0|0|0|0|0|0|0|0|||||
718370|26304|23826|||0|0|0|0|0|0|0|0|0|0|||||
726146|81580|0|||0|0|8692|0|0|0|0|0|0|0|||||
728550|113610|169730|||0|0|0|0|0|0|0|2440|0|0|||||
718277|47021|39556|||0|0|0|0|0|0|0|0|0|0|||||
734089|15094|10224|||0|0|0|0|0|0|0|0|0|0|||||
717432|9942|11498|||0|0|267|267|0|0|0|0|0|0|||||
712982|128420|150266|||0|0|0|0|0|0|0|0|0|0|||||
728850|42386|31245|||0|0|0|0|0|0|0|0|0|0|||||
724560|163891|153472|||0|0|5781|0|0|0|0|0|0|0|||||
714173|45984|79575|||0|0|6668|6668|0|0|0|0|0|0|||||
727007|45167|37874|||0|0|0|0|0|0|0|0|0|0|||||
727668|275405|183737|0||571832|585118|||0|0|||||||||
718071|76956|77608|||0|0|0|0|0|0|0|0|0|0|||||
