RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
538306|6478817|0|405637|3327|0|257335|35289|0|87879||0|0|0|35289|
553279|122825|0|0|||0|||0||0||||
544817|9192|0|0|||0|||0||1021||||
549498|15370|0|0|||0|||0||2529||||
591477|7468|0|0|||4|||0||0||||
528852|18853|0|0|||0|||0||0||||
545379|67131|0|0|||0|||0||306||||
541813|13548|0|0|||0|||0||0||||
534689|471460|0||5734||0|0|0|67864||19266|0|0||19266
559146|116349|0|0|||33|||0||16089||||
534082|18983|0|0|||31|||0||0||||
547928|17917|2379||||96|||||146||||
542953|32869|0|0|||0|||0||62||||
545191|0|17387|0|||0|||0||0||||
551067|61769|||||16|||||3156||||
553446|47430|0|0|||18|||0||17527||||
537476|91347|0|0|||95|||1828||0||||
551857|11669|0|292394|0||352|0|0|0||7090|0|30616||2620
537383|11506|0|0|||14|||0||0||||
559253|1183|0|0|||1|||0||8320||||
538570|176076|0|0|||1325|||0||19120||||
556489|23485|0|0|||0|||0||0||||
544484|138490|0|0|||78|||120||8415||||
553414|110685|0|0|||5|||0||8935||||
537583|51919|0||0||0|315|0|0||40|237867|0||0
538310|165255|0|0|||2363|||0||0||||
545257|60850|0|0|||0|||300||1608||||
573061|40748|0|0|||0|||0||0||||
545396|33586|0|0|||206|||0||0||||
538442|3120737|0|0|0|0|463|0|0|0|0|199926|0|16190||86975
543021|1198|0|0|||2|||0||0||||
535147|39642|0|0|||442|||28106||416||||
549202|189794|0|0|||0|||0||0||||
559503|17707|0|0|||76|||0||0||||
550363|2992789|0||0||839|0|0|0||2051|1254732|0||2051
556571|16750|0|0|||0|||0||804||||
550480|1871094|0|0|0|0|19|30004|0|0|0|434605|0|0||0
528540|12630|0|0|||0|||0||0||||
532360|19054|0|0|||3|||0||0||||
537516|49747|0|0|||515|||0||18053||||
544850|32129|0|0|||432|||0||1100||||
546294|17714|0|0|||0|||0||10929||||
549102|131940|0|0|||106|||0||6659||||
542454|10500|0|0|||0|||0||12000||||
540512|17695|0|0|||55|||0||0||||
556500|518567|0|0|0||252|0|0|6549|904|91|0|0||91
557620|12420|0|0|||0|||0||0||||
533630|0|0|0|||0|||0||133635||||
533273|0|0|0|||0|||0||29862||||
533759|0|0|0|||0|||0||218055||||
533624|0|0|0|||0|||0||103730||||
533756|0|0|0|||0|||0||18613||||
554956|58652|0|0|||0|||0||0||||
