RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
556852|||32750||||||||||550|24829|0|0|0|||13792|15382|||||||||||7044||75
527960|52817|5348|0|10532|24963|11806|0|0|1156||5645|0|161283|59362|0|0|0|0|0||5700|10477|1329||756|||||||||
498614|||0||||||||||1440|110|0|0|0|||10456|0|||||||||||1548||235
525352|||0||||||||||0|8896|0|0|0|||0||||||||||||1200||0
507302|202744|16637|0|203718|275931|24442|14708|0|0||64170|0|83024|252845||39409||0|0||181752|24442||||||||14471|73668|||
533140|||0||||||||||0|9852|0|0|0|||7231|0|||||||||||3129||0
524275|||0||||||||||22709|35160|0|0|0|||11877|618|||||||||||2965||0
504968|194832|30580|24693|198770|117284|50588|0|0|0||43569|0|162251|164596|373413|176650|0|23779|39459||54366|50588||43000|7588|0|9927||3800|19737|12530|||
519402|1374481|135474|195614|1151327|396719|664824|0|0|0||112570|0|874726|210672|2209988|719060|0|8797|0||1170441|663636|1188|116021|548803||23566|100|106166|73574|41773|||
502752|||||||||||||610|4293||30864||||13520|33836|||||||||||9330||3681
509007|10643|1421|0|3866|14349|2254|91817|0|185||3928|0|199775|21256|||||0|||1901|353|2247|||0|1421|0|3866|1489|||
506650|||25||||||||||35267|22812|0|3178|0|||7611|287|||||||||||7508||1500
527212|||0||||||||||84095|0|0|8189|0|||9498|0|||0||||||||13668||3380
522705|576253|23927|11180|431437|56503|159531|4545|0|0||71658|0|624877|189777|4104|409541|||1439||336614|158597|934|74536|84995||37109|1626|4095|59300|2156|||
511198|||0||||||||||429|11700|0|2204|0|||0|0|||||||||||13965||389
524629|||100||||||||||0|26872|0|51455|0|||28126|0|||||||||||5458||0
515126|11000|0|0|66862|151626|25813|0|0|0||25813|0|74124|100784||114378|||83671||32114|25813||15090|3638|||||41679||||
516271|797808|18471|23470|483004|280112|303799|0|0|2750||75028|0|886807|184887|36445|804069|||0||679018|303799||60969|242830||21620||22022|29017|17423|||
529449|||2110||||||||||0|29972|0|120289|0|||10081|0|||||||||||13294||0
