RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
470428|97873|0|0|||75|||0||3979||||
470652|97873|0|0|||38|||0||1246||||
470406|97873|0|1000|||0|||0||2745||||
490670|49659|0||0||0|0|6280|216841||0|0|0||0
470793|18529|0|0|||163|||0||1867||||
486816|188792|0|0|||0|||0||0||||
492878|0|0|0|||0|||0||4245||||
465903|101764|0||0||0|0|0|6724||164565|0|0||59
471765|73774|0|0|||0|||400||3465||||
474948|37793|0|0|||0|||0||0||||
468008|10800|0|0|||0|||0||0||||
468235|39574|0|0|||420|||600||0||||
491135|25967|0|0|||0|||0||2280||||
479469|0|0||0||0|0|0|0||0|0|0||
489350|1108711|0|175385|0||56657|2133|0|501215||335038|0|0|804225|23372
494331|91126|0|0|||7405|||2414||7703||||
476255|0|0|0|||0|||0||0||||
493532|187090|0|0|||49|||0||3656||||
472370|30629|0|0|||14|||0||62||||
471589|137430|0|1137|||194|||1065||21414||||
474387|19903|0|0|||4|||0||0||||
467031|46536|0|0|||192|||0||0||||
493027|35748|0|0|||18|||0||441||||
465240|0|70251||0||2172|0|0|0|28357|1835873|0|0||231583
474744|1604045|0|11366|0||33604|0|0|139278||0|0|0|70609|
479912|23398|0|0|||0|||0||0||||
470482|111778|0|0|||9|||0||610||||
502565|17970|0|0|||0|||0||0||||
474787|13934|0|0|||2|||0||0||||
476484|163254|0|0|||1835|||0||2668||||
481161|26931||||||||||3070||||
483462|109653|0|0|||9998|||0||0||||
489017|165633|0|0|||2325|||0||1132||||
478804|1083|0|0|||4210|||0||72734||||
473850|448838|0||0||1819|0|0|0||16538|0|0||16538
469447|174921|1105|0|||0|||0||54||||
478333|301160|0|0|0||1812|0|26087|0|0|952|0|0||952
473746|15131|0|0|||0|||0||33||||
472033|20498|0|0|||1381|||0||681||||
493108|43251|0|0|||0|||0||0||||
478003|0|23643|0|||0|||0||8444||||
501348|27380||||||||||||||
492081|31736|0|0|||220|||0||1201||||
466739|140989|0||6403||462|0|6000|163830||2700|0|0||2700
484203|11173|||||123|||720||1171||||
479480|35026|0|0|||0|||0||13312||||
477092|16331|0|0|||488|||10||10275||||
476039|199964|0|0|||4860|||0||1350||||
493815|124178|0|0|||69|||0||0||||
475331|41743|0|0|||0|||550||0||||
491169|41135|0|0|||0|||0||1558||||
480217|30646|0|0|||21|||100||0||||
479526|67421|0|0|||0|||0||7621||||
473526|576367|0|0|5182||1827|0|3025|475|0|95823|0|10344||19424
493728|88957|0|0|||17554|||0||0||||
480344|0|11761|0|||12|||0||22913||||
474030|0|26350|0|||0|||0||0||||
460417|0|0|0|||2|||0||0||||
475436|5297|0|0|||136|||2348||0||||
480201|75530|0|0|||6|||0||8293||||
471359|32324|0|0|||1756|||0||0||||
491437|14521|0|0|||0|||0||1839||||
476391|120138|0|0|||0|||0||0||||
493819|17592|0|0|||0|||0||0||||
466381|5824|0|0|||0|||5525||3442||||
470327|130709|0|0|||1292|||0||0||||
472179|655|0|0|||2|||0||0||||
496439|132|0|0|0||229|0|600|0|0|1693400|0|0||32480
481470|50248|0|0|||0|||0||10960||||
478058|51487|0|0|||0|||825||0||||
498031|1613|0|0|||0|||0||0||||
482447|1674022|0||0||279|0|0|73734|14555|27344|0|297||8466
486710|255344|0|0|0||496|0|585|0|0|3843|0|0||3843
497723|17308||||||||||||||
493485|51014|0||||83|||220||10809||||
493366|59480|||||9|||645||9626||||
474950|62129|0|0|||187|||0||0||||
475842|344171|0|0|0||542|0|9600|175|0|0|0|0|0|0
514503|488748|0|0|0||34346|0|26090|4660|0|9862|0|0|2000000|9862
492984|19017|0|0|||93|||0||0||||
466629|362002|0||0||20571|0|0|0|0|59564|14977|22871|0|550
507402|739562|0|0|0||3377|0|0|3940||55956|0|45160|0|25289
497008|8423|0|0|||0|||220||855||||
472875|65754|0|0|||49|||0||7774||||
495785|82633|0|0|||434|||0||4271||||
489343|25849|0|0|||45|||0||0||||
470366|33132|0|0|||0|||0||0||||
491119|46169|0|0|||0|||0||0||||
460404|256|||||1|||||||||
472433|22347|0|0|||110|||0||359||||
483285|22789|0|0|||0|||0||114||||
471412|0|29662|0|||0|||4700||500||||
478223|17358|||||40|||||191||||
475071|228344|0|0|0||728|0|0|6732|0|16620|0|0||3394
