OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
30356|CHRYSLER CREDIT|35182|0|11830|0|23352|668630
30357|DUE TO PUBLIC|2186918|253000||2186918|253000|668640
30358|FORD ESCAPE - 246672|7149||5740||1409|668640
30359|FORD ESCAPE - 83653|5983||4802||1181|668640
30360|FORD F-150 - 57751|9313||7479||1834|668640
30361|FORD EDGE - 29475|31661||7807||23854|668640
30362|FORD ESCAPE - 3837|31662||5277||26385|668640
30363|FORD ESCAPE - 5793|31589||5265||26324|668640
30364|None|0|0|0|0|0|668650
30365|SEIU|20872||||20872|668659
30366|SEIU|845900||200000||645900|668659
30367|MORTGAGE POPULAR|857527||73190||784337|668659
30368|PNC Construction Loan|1049693|0|55311|0|994382|668668
30369|PA ISRP Loan|377656|0|37364|0|340292|668668
30370|None|0|0|0|0|0|668726
30371|LINE OF CREDIT|693492||173037||520455|668771
30372|Auto Loan Payable|24972|0|8814|0|16158|668774
30373|NONE|0|0|0|0|0|668777
30374|None|0|0|0|0|0|668779
30375|NONE|0|0|0|0|0|668783
30376|NONE|0|0|0|0|0|668797
30377|PLUMBERS & FITTERS LOCAL 675 FEDERAL CREDIT UNION|45681||29459||16222|668809
30378|IBERIABANK LINE OF CREDIT|3122|22334|17497|0|7959|668824
30379|CHRYSLER CAPITAL|20146|0|5341|0|14805|668825
30380|UNION YES FEDERAL CREDIT UNION|125922|0|27319|0|98603|668852
30383|Automobile Loan|22427|0|5567|0|16860|668865
30384|COMMUNITY BANK|68079||22717||45362|668873
30385|Ally Bank/GM Financial|117342|70425|49651||138116|668874
30386|Ford Motor Credit|6188|0|6188||0|668874
30387|Bank of the West|2343147|0|2343147|0|0|668895
30388|NONE|0|0|0|0|0|668941
30389|LAFCU Credit Union|15457|0|10198|0|5259|668950
30390|N/A|0|0|0|0|0|668976
30391|Ally Bank - Car Loan|1078|0|1078|0|0|669058
30392|Plumbers 55 Federal Credit Union|17714|0|10529|0|7185|669060
30393|Plumbers 55 Federal Credit Union|22435|0|12092|0|10343|669060
30394|Plumbers 55 Federal Credit Union|0|10324|3373|0|6951|669060
30395|Peoples National Bank|38367|0|4955|0|33412|669075
30396|NONE|0|0|0|0|0|669088
30397|LINE OF CREDIT - BANK OF LABOR|2499774|0|2499774|0|0|669092
30398|FORD MOTOR CREDIT CO.|112726|48601|81415|0|79912|669101
30399|ALLY BANK|5896|0|5218|0|678|669101
30400|Pinnacle Bank|0|150000|24439||131410|669112
30401|NONE|0|0|0|0|0|669118
30402|NONE|0|0|0|0|0|669123
30403|NONE|0|0|0|0|0|669140
30404|NONE|0|0|0|0|0|669145
30405|MECHANICS SAVINGS BANK |45238|26777|29036||42979|669149
30406|CONECTIVITY POINT|4527|0|0||4527|669149
30407|Ford Motor Credit Company|16502|0|6757|0|9745|669154
30408|Hann Financial Services|18572|0|4352|0|14220|669167
30409|Hann Financial Services|16395|0|3826|0|12569|669167
30410|Foulke Management Corp.|29903|0|4697|0|25206|669167
30411|LOAN|215306|0|26185|0|189121|669171
30412|LOAN AUTOMOBILE|20223|0|6710|0|13513|669171
30413|LINE OF CREDIT|300000|0|0|0|300000|669171
30414|GENERAL MOTORS FINANCIAL|0|19582|3578|0|16004|669172
30415|NONE|0|0|0|0|0|669173
30416|None|0|0|0|0|0|669176
30417|De Lage Landen|1118|0|1118|0|0|669182
30418|NONE|0|0|0|0|0|669185
30419|Frank Stroud|0|10000|10000||0|669194
30420|INTER CO |1550|0|0|0|1550|669199
30421|FORD CREDIT|30261|0|12969||17292|669225
30422|FORD CREDIT|33577|0|7462||26115|669225
30423|FORD MOTOR CREDIT|57351|0|9409|0|47942|669228
30424|Ally Financial|24847||14908||9939|669239
30425|Ford Motor Credit|39330||9631||29699|669239
30426|Ford Motor Credit|0|40555|6056||34499|669239
30427|Ford Motor Credit|0|40555|6055||34500|669239
30428|ALLY BANK|15492|0|12159|0|3333|669242
30429|ALLY BANK|15492|0|15492|0|0|669242
30430|ALLY BANK|0|42632|0|0|42632|669242
30431|Ally Auto|41330|0|25842|0|15488|669314
30432|Ally|4034|0|4034||0|669321
30433|Wells Fargo Bank|0|150000|1868||148132|669321
30434|COMMUNITY BANK|13133|0|7070|0|6063|669331
30440|Bank of America|3579|0|3579||0|669372
30965|Ford Credit|89928|0|21846|0|68082|675737
30441|Interfund payable|560||560||0|669372
30442|RANGE BANK #820050|25044|0|25044|0|0|669417
30443|RANGE BANK #822593|27228|0|27228|0|0|669417
30444|RANGE BANK #827766|0|31850|4214|0|27636|669417
30445|FORD CREDIT 2013 F-150|5493|0|5493|0|0|669424
30446|FORD CREDIT 2017 FORD EXPLORER 4WD|0|42894|1430|0|41464|669424
